Problema,Clase
Amparo tiene 5 lapices y le da 2 a Israel ¿Cuántas le quedan?,Cambio
Ana pesaba 22 kilos y ha engordado 7 kilos ¿Cuánto pesa ahora?,Cambio
Ana y su hermana tenían ahorrados 5050 euros. Se han gastado 2000 euros . ¿Cuánto dinero les queda?,Cambio
"Andrés tenía 14 tazos. Después de jugar ha reunido 18. ¿Cuántos ha
ganado?",Cambio
"Andrés tenía 14 tazos. Después de jugar le quedan sólo 8 tazos.
¿Cuántos ha perdido?",Cambio
"Antonio tenía en su hucha 500 euros. En su santo se ha gastado 50
euros. ¿Cuánto dinero tiene ahora en la hucha?",Cambio
"Antonio tenía en su hucha 8 euros. Después de su comunión, metió
otros 12 euros. ¿Cuánto dinero tiene ahora en la hucha ?",Cambio
"Antonio tenía en su hucha 8 euros. En su cumpleaños se ha gastado 5
euros. ¿Cuánto dinero tiene ahora en la hucha?",Cambio
"Beatriz tiene 20 regalices si se come 5 regalices. 
¿Cuántos regalices le quedan a Beatriz por comer?",Cambio
"Beatriz tiene 5 caramelos, si se come 3 caramelos.
¿Cuántos caramelos le quedan a Beatriz por comer?",Cambio
"Belén tiene 17 chicles, da algunos a Pablo y le quedan 5. ¿ Cuántos
chicles dio a Pablo?",Cambio
"Belén tiene 20 caramelos, da algunos a Pablo y le quedan 10. ¿ Cuántos
caramelos dio a Pablo?",Cambio
"Carmen salió de casa con 9 canicas, ganó 2 en el colegio. ¿Con cuántas volvió a casa?",Cambio
"Carmen salió de casa con 9 tazos, ganó 2 en el colegio. ¿Con cuántas volvió a casa?",Cambio
"De una granja partió un camión con 15300 huevos y llegaron al almacén
11200 huevos sin romper. ¿Cuántos huevos se rompieron por el camino?",Cambio
"De una granja partió un camión con 16300 huevos y llegaron al almacén
12300 huevos sin romper. ¿Cuántos huevos se rompieron por el camino?",Cambio
En el año 1403 comenzaron las obras de la catedral de Sevilla y la terminaron en el año 1506 ¿Cuántos años duraron las obras?,Cambio
En el año 1492 comenzaron las obras de la catedral de Granada y la terminaron en el año 1550 ¿Cuántos años duraron las obras?,Cambio
"En el colegio hay 20 niños jugando y
llegan 10 más. ¿Cuántos niños hay en
total?",Cambio
"En el parque hay 8 niños jugando y
llegan 4 más. ¿Cuántos niños hay en
total?",Cambio
"En la mesa donde va a comer la familia de
Alba hay 10 platos y Alba pone 3 platos más.
¿Cuántos vasos hay en total sobre la mesa?",Cambio
"En la mesa donde va a comer la familia de
Tomás hay 5 vasos y Tomás pone 2 vasos más.
¿Cuántos vasos hay en total sobre la mesa?",Cambio
En un autobús había 15 personas. Se bajaron 8 personas. ¿Cuántas personas quedaron en el autobús?,Cambio
"En un autobús van pasajeros de viaje y en una estación suben 32 pasajeros. Al
final del viaje 58 pasajeros. ¿Cuántos pasajeros iban al principio del viaje?",Cambio
